Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
MG Bracewell,3,1,New Zealand,v India,Rajkot,14-Jan-26,ODI # 4938
DN Wellalage,3,2,Sri Lanka,v England,Colombo (RPS),22-Jan-26,ODI # 4940
HC Brook,3,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
J Ramanandi,3,2,Oman,v Scotland,Windhoek,08-Apr-26,ODI # 4948
Towhid Hridoy,3,1,Bangladesh,v New Zealand,Mirpur,20-Apr-26,ODI # 4952
MG Bracewell,2,2,New Zealand,v India,Vadodara,11-Jan-26,ODI # 4937
Kuldeep Yadav,2,1,India,v New Zealand,Indore,18-Jan-26,ODI # 4939
WA Young,2,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
BM Duckett,2,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
JE Root,2,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
Mohammad Wasim,2,2,Pakistan,v Bangladesh,Mirpur,13-Mar-26,ODI # 4944
O Davidson,2,1,Scotland,v Namibia,Windhoek,06-Apr-26,ODI # 4947
D Foxcroft,2,2,New Zealand,v Bangladesh,Mirpur,20-Apr-26,ODI # 4952
A Sharma,2,1,U.A.E.,v Nepal,Kirtipur,25-Apr-26,ODI # 4954
Basir Ahamad,2,2,Nepal,v U.A.E.,Kirtipur,25-Apr-26,ODI # 4954
Hammad Mirza,2,1,Oman,v U.A.E.,Kirtipur,27-Apr-26,ODI # 4955
Muhammad Waseem,2,2,U.A.E.,v Oman,Kirtipur,27-Apr-26,ODI # 4955
Muhammad Shahdad,2,1,U.A.E.,v Nepal,Kirtipur,01-May-26,ODI # 4957
Hammad Mirza,2,1,Oman,v U.A.E.,Kirtipur,03-May-26,ODI # 4958
PD Machhi,2,1,Oman,v U.A.E.,Kirtipur,03-May-26,ODI # 4958
Muhammad Waseem,2,2,U.A.E.,v Oman,Kirtipur,03-May-26,ODI # 4958
Hasnain Ul Wahab,2,1,Oman,v Nepal,Kirtipur,05-May-26,ODI # 4959
Aarif Sheikh,2,2,Nepal,v Oman,Kirtipur,05-May-26,ODI # 4959
SS Iyer,1,1,India,v New Zealand,Vadodara,11-Jan-26,ODI # 4937
KDC Clarke,1,2,New Zealand,v India,Vadodara,11-Jan-26,ODI # 4937
GD Phillips,1,2,New Zealand,v India,Vadodara,11-Jan-26,ODI # 4937
DJ Mitchell,1,1,New Zealand,v India,Rajkot,14-Jan-26,ODI # 4938
GD Phillips,1,1,New Zealand,v India,Rajkot,14-Jan-26,ODI # 4938
WA Young,1,1,New Zealand,v India,Rajkot,14-Jan-26,ODI # 4938
K Nitish Kumar Reddy,1,2,India,v New Zealand,Rajkot,14-Jan-26,ODI # 4938
RA Jadeja,1,1,India,v New Zealand,Indore,18-Jan-26,ODI # 4939
RG Sharma,1,1,India,v New Zealand,Indore,18-Jan-26,ODI # 4939
KDC Clarke,1,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
ZG Foulkes,1,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
DJ Mitchell,1,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
HM Nicholls,1,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
GD Phillips,1,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
HC Brook,1,1,England,v Sri Lanka,Colombo (RPS),22-Jan-26,ODI # 4940
LA Dawson,1,1,England,v Sri Lanka,Colombo (RPS),22-Jan-26,ODI # 4940
J Overton,1,1,England,v Sri Lanka,Colombo (RPS),22-Jan-26,ODI # 4940
AU Rashid,1,1,England,v Sri Lanka,Colombo (RPS),22-Jan-26,ODI # 4940
DM de Silva,1,2,Sri Lanka,v England,Colombo (RPS),22-Jan-26,ODI # 4940
SM Curran,1,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
LA Dawson,1,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
WG Jacks,1,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
AU Rashid,1,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
KIC Asalanka,1,2,Sri Lanka,v England,Colombo (RPS),24-Jan-26,ODI # 4941
J Liyanage,1,1,Sri Lanka,v England,Colombo (RPS),27-Jan-26,ODI # 4942
