Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
Usman Khan (PAK),2026-2026,11,9,13,11,2,4 (3ct 1st),1.444
P Kurup (BHR),2026-2026,12,12,11,8,3,2 (2ct 0st),0.916
Q de Kock (SA),2026-2026,10,10,10,10,0,3 (3ct 0st),1
JC Buttler (ENG),2026-2026,11,11,9,5,4,2 (2ct 0st),0.818
TL Seifert (NZ),2026-2026,13,12,9,6,3,2 (2ct 0st),0.75
C Esterhuizen (SA),2026-2026,5,5,8,8,0,2 (2ct 0st),1.6
LJ Tucker (IRE),2026-2026,8,8,8,4,4,3 (2ct 1st),1
CC Machado (BRA),2026-2026,5,3,7,7,0,3 (3ct 0st),2.333
C Pyle (GIBR),2026-2026,5,5,7,2,5,2 (1ct 1st),1.4
Amar Naeem (AUT),2026-2026,7,7,7,6,1,2 (2ct 0st),1
W Boshoff (SWE),2026-2026,7,7,7,6,1,3 (3ct 0st),1
BKG Mendis (SL),2026-2026,11,11,7,3,4,2 (1ct 1st),0.636
V Mbazo (BOT),2026-2026,4,3,6,4,2,3 (3ct 0st),2
SA Edwards (NED),2026-2026,4,4,6,5,1,2 (2ct 0st),1.5
GP Meade (ITA),2026-2026,7,6,6,3,3,2 (0ct 2st),1
DK Kesuma (INA),2026-2026,10,10,6,4,2,2 (2ct 0st),0.6
Jordan O'Brien (FIN),2026-2026,4,4,5,3,2,2 (1ct 1st),1.25
JP Inglis (AUS),2026-2026,5,5,5,4,1,2 (2ct 0st),1
SV Samson (IND),2026-2026,10,9,5,5,0,2 (2ct 0st),0.555
IDA Damarell (GUE),2026-2026,3,2,4,3,1,2 (2ct 0st),2
S Guruvayoorappan (MEX),2026-2026,2,2,4,4,0,3 (3ct 0st),2
Ashish Bam (CYP),2026-2026,4,3,4,4,0,4 (4ct 0st),1.333
TWM Latham (NZ),2026-2026,3,3,4,3,1,2 (2ct 0st),1.333
F Baaleri (GHA),2026-2026,4,4,4,2,2,2 (2ct 0st),1
Virk Ali (Fran),2026-2026,4,4,4,4,0,2 (2ct 0st),1
J Baker (CAY),2026-2026,6,5,4,2,2,2 (2ct 0st),0.8
I Liyanage (QAT),2026-2026,5,5,4,4,0,1 (1ct 0st),0.8
Sachin Mandy (GER),2026-2026,5,5,4,2,2,1 (1ct 0st),0.8
CF Tlali (LES),2026-2026,5,5,4,3,1,3 (3ct 0st),0.8
