Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Ishan Kishan (IND),2026-2026,13,13,0,532,103,40.92,257,207,1,4,1,55,34
SA Yadav (IND),2026-2026,14,14,3,484,84*,44,300,161.33,0,4,1,46,24
SO Hetmyer (WI),2026-2026,13,13,2,481,85,43.72,259,185.71,0,3,0,30,39
Sahibzada Farhan (PAK),2026-2026,11,10,1,448,100*,49.77,288,155.55,2,3,2,44,20
TL Seifert (NZ),2026-2026,13,12,1,429,89*,39,259,165.63,0,5,0,48,19
AK Markram (SA),2026-2026,11,11,3,389,86*,48.62,236,164.83,0,4,0,42,15
FH Allen (NZ),2026-2026,10,9,2,378,100*,54,187,202.13,1,2,0,33,26
SV Samson (IND),2026-2026,10,10,1,367,97*,40.77,195,188.2,0,3,1,33,26
RD Rickelton (SA),2026-2026,11,11,3,360,77*,45,209,172.24,0,2,1,27,22
GD Phillips (NZ),2026-2026,14,11,1,357,78,35.7,230,155.21,0,2,0,33,17
Karanbir Singh (AUT),2026-2026,7,7,2,354,128*,70.8,188,188.29,1,2,0,28,31
S Dube (IND),2026-2026,14,12,4,352,66,44,186,189.24,0,2,1,19,29
BKG Mendis (SL),2026-2026,11,11,1,336,61,33.6,266,126.31,0,3,0,36,6
Q de Kock (SA),2026-2026,10,10,0,324,115,32.4,197,164.46,1,1,1,29,20
Abhishek Sharma (IND),2026-2026,13,13,1,323,84,26.91,162,199.38,0,4,5,32,23
Ibrahim Zadran (AFG),2026-2026,7,7,2,307,95*,61.4,219,140.18,0,3,0,31,10
JG Bethell (ENG),2026-2026,11,11,0,305,105,27.72,213,143.19,1,1,0,29,14
P Nissanka (SL),2026-2026,12,12,1,303,100*,27.54,211,143.6,1,1,2,31,12
Sohail Ahmed (BHR),2026-2026,12,12,1,298,64*,27.09,276,107.97,0,4,2,17,13
HG Munsey (SCOT),2026-2026,7,7,0,296,108,42.28,209,141.62,1,1,0,31,13
BJ Bennett (ZIM),2026-2026,6,6,4,292,97*,146,217,134.56,0,3,0,32,7
HC Brook (ENG),2026-2026,11,11,1,291,100,29.1,180,161.66,1,1,0,25,13
HH Pandya (IND),2026-2026,14,12,1,286,52,26,173,165.31,0,2,1,17,20
Musaddiq Ahmed (GER),2026-2026,5,5,0,277,122,55.4,117,236.75,1,1,0,19,26
P Baron (ARG),2026-2026,6,6,0,275,73,45.83,201,136.81,0,4,0,32,5
Ahmer Bin (BHR),2026-2026,12,11,4,274,68*,39.14,206,133,0,1,0,32,7
SD Hope (WI),2026-2026,9,9,1,269,75,33.62,198,135.85,0,2,1,23,14
BA King (WI),2026-2026,11,11,0,269,50,24.45,205,131.21,0,1,0,28,13
C De Freitas (POR),2026-2026,6,6,0,267,125,44.5,145,184.13,1,2,0,27,12
GA Priandana (INA),2026-2026,14,14,0,261,50,18.64,281,92.88,0,1,3,24,7
