Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
RK Singh,4,1,India,v New Zealand,Visakhapatnam,28-Jan-26,T20I # 3672
HG Munsey,4,2,Scotland,v Italy,Eden Gardens,09-Feb-26,T20I # 3690
S Joseph,4,2,West Indies,v Italy,Eden Gardens,19-Feb-26,T20I # 3724
E Malinga,3,2,Sri Lanka,v Pakistan,Dambulla,11-Jan-26,T20I # 3661
Darwish Rasooli,3,2,Afghanistan,v West Indies,Dubai (DICS),19-Jan-26,T20I # 3662
Ziaur Rahman,3,1,Afghanistan,v West Indies,Dubai (DICS),22-Jan-26,T20I # 3665
HH Pandya,3,1,India,v New Zealand,Raipur,23-Jan-26,T20I # 3667
C Green,3,1,Australia,v Pakistan,Lahore,29-Jan-26,T20I # 3673
Babar Azam,3,2,Pakistan,v Australia,Lahore,29-Jan-26,T20I # 3673
Milind Kumar,3,1,U.S.A.,v India,Wankhede,07-Feb-26,T20I # 3686
GD Phillips,3,1,New Zealand,v U.A.E.,Chennai,10-Feb-26,T20I # 3694
C Green,3,2,Australia,v Ireland,Colombo (RPS),11-Feb-26,T20I # 3698
NR Kirton,3,2,Canada,v U.A.E.,Delhi,13-Feb-26,T20I # 3705
MJ Humphreys,3,2,Ireland,v Oman,Colombo (SSC),14-Feb-26,T20I # 3708
JJ Smit,3,1,Namibia,v U.S.A.,Chennai,15-Feb-26,T20I # 3713
T Banton,3,2,England,v Italy,Eden Gardens,16-Feb-26,T20I # 3717
GD Phillips,3,1,New Zealand,v Canada,Chennai,17-Feb-26,T20I # 3719
KT Maphaka,3,1,South Africa,v U.A.E.,Delhi,18-Feb-26,T20I # 3721
AG Cremer,3,1,Zimbabwe,v Sri Lanka,Colombo (RPS),19-Feb-26,T20I # 3725
T Stubbs,3,2,South Africa,v India,Ahmedabad,22-Feb-26,T20I # 3730
GK Ghalley,3,1,Bhutan,v Thailand,Bangkok,26-Feb-26,T20I # 3737
SO Hetmyer,3,2,West Indies,v India,Eden Gardens,01-Mar-26,T20I # 3750
Ishan Kishan,3,2,India,v New Zealand,Ahmedabad,08-Mar-26,T20I # 3755
Inshaf Farook,3,1,Lesotho,v Botswana,Gaborone (Oval 1),12-Mar-26,T20I # 3765
