Player,Span,Mat,Inns,Ct,Max,Ct/Inn
Hammad Mirza (OMA),2026-2026,7,6,6,2,1
MG Bracewell (NZ),2026-2026,3,3,5,3,1.666
Muhammad Waseem (UAE),2026-2026,4,4,5,2,1.25
Towhid Hridoy (BAN),2026-2026,6,6,5,3,0.833
HC Brook (ENG),2026-2026,3,3,4,3,1.333
DN Wellalage (SL),2026-2026,3,3,4,3,1.333
Aarif Sheikh (NEP),2026-2026,4,4,4,2,1
A Sharma (UAE),2026-2026,4,4,4,2,1
WA Young (NZ),2026-2026,6,6,4,2,0.666
Wasim Ali (OMA),2026-2026,7,7,4,1,0.571
Basir Ahamad (NEP),2026-2026,2,2,3,2,1.5
PD Machhi (OMA),2026-2026,2,2,3,2,1.5
BM Duckett (ENG),2026-2026,3,3,3,2,1
GD Phillips (NZ),2026-2026,3,3,3,1,1
B Siddharth (OMA),2026-2026,3,3,3,1,1
Muhammad Shahdad (UAE),2026-2026,4,4,3,2,0.75
Mujibur Ali (OMA),2026-2026,4,4,3,1,0.75
RK Paudel (NEP),2026-2026,4,4,3,1,0.75
Mehidy Hasan Miraz (BAN),2026-2026,6,6,3,1,0.5
Najmul Hossain Shanto (BAN),2026-2026,6,6,3,1,0.5
HM Nicholls (NZ),2026-2026,6,6,3,1,0.5
Saif Hassan (BAN),2026-2026,6,6,3,1,0.5
Tanzid Hasan (BAN),2026-2026,6,6,3,1,0.5
J Ramanandi (OMA),2026-2026,7,7,3,3,0.428
Hasnain Ul Wahab (OMA),2026-2026,1,1,2,2,2
O Davidson (SCOT),2026-2026,2,2,2,2,1
WG Jacks (ENG),2026-2026,2,2,2,1,1
Mohammad Wasim (PAK),2026-2026,2,2,2,2,1
KDC Clarke (NZ),2026-2026,3,3,2,1,0.666
SM Curran (ENG),2026-2026,3,3,2,1,0.666
LA Dawson (ENG),2026-2026,3,3,2,1,0.666
D Foxcroft (NZ),2026-2026,3,3,2,2,0.666
Kuldeep Yadav (IND),2026-2026,3,3,2,2,0.666
B McMullen (SCOT),2026-2026,3,3,2,1,0.666
DJ Mitchell (NZ),2026-2026,3,3,2,1,0.666
LN Rajbanshi (NEP),2026-2026,3,3,2,1,0.666
AU Rashid (ENG),2026-2026,3,3,2,1,0.666
JE Root (ENG),2026-2026,3,3,2,2,0.666
Shaheen Shah Afridi (PAK),2026-2026,3,3,2,1,0.666
B Sharki (NEP),2026-2026,3,3,2,1,0.666
AD Nath (UAE),2026-2026,4,4,2,1,0.5
Afif Hossain (BAN),2026-2026,4,4,2,1,0.5
DS Airee (NEP),2026-2026,4,4,2,1,0.5
Haider Ali (UAE),2026-2026,4,4,2,1,0.5
Jatinder Singh (OMA),2026-2026,7,7,2,1,0.285
Shakeel Ahmed (OMA),2026-2026,7,7,2,1,0.285
JJ Davidson (SCOT),2026-2026,1,1,1,1,1
Ghazi Ghori (PAK),2026-2026,1,1,1,1,1
MW Jones (SCOT),2026-2026,1,1,1,1,1
V Shukla (OMA),2026-2026,7,1,1,1,1
DO Leicher (NAM),2026-2026,3,2,1,1,0.5
Nilansh Keswani (UAE),2026-2026,2,2,1,1,0.5
K Nitish Kumar Reddy (IND),2026-2026,2,2,1,1,0.5
Shamyl Hussain (PAK),2026-2026,2,2,1,1,0.5
BM Tickner (NZ),2026-2026,2,2,1,1,0.5
Abdul Samad (PAK),2026-2026,3,3,1,1,0.333
Salman Agha (PAK),2026-2026,3,3,1,1,0.333
Rehan Ahmed (ENG),2026-2026,3,3,1,1,0.333
