Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
S Movva (CAN),2024-2024,15,11,19,17,2,4 (4ct 0st),1.727
BKG Mendis (SL),2024-2024,17,17,19,12,7,3 (1ct 2st),1.117
Mohammad Rizwan (PAK),2024-2024,9,9,17,17,0,6 (6ct 0st),1.888
SK Patel (USA),2024-2024,8,7,14,13,1,5 (4ct 1st),2
Mushfiqur Rahim (BAN),2024-2024,4,4,13,13,0,4 (4ct 0st),3.25
Ikram Alikhil (AFG),2024-2024,10,10,13,12,1,3 (2ct 1st),1.3
SA Edwards (NED),2024-2024,12,12,12,8,4,2 (2ct 0st),1
SD Hope (WI),2024-2024,12,12,12,12,0,3 (3ct 0st),1
JP Inglis (AUS),2024-2024,8,8,10,9,1,3 (3ct 0st),1.25
Aasif Sheikh (NEP),2024-2024,13,10,10,8,2,3 (2ct 1st),1
MH Cross (SCOT),2024-2024,11,11,9,7,2,3 (3ct 0st),0.818
Hammad Mirza (OMA),2024-2024,4,4,6,4,2,3 (2ct 1st),1.5
JL Smith (ENG),2024-2024,5,5,6,6,0,2 (2ct 0st),1.2
PS Athavale (OMA),2024-2024,7,7,6,6,0,2 (2ct 0st),0.857
LJ Tucker (IRE),2024-2024,3,3,5,5,0,3 (3ct 0st),1.666
SA Wijeyeratne (CAN),2024-2024,5,4,5,4,1,2 (2ct 0st),1.25
J Gumbie (ZIM),2024-2024,6,2,4,4,0,3 (3ct 0st),2
RD Rickelton (SA),2024-2024,4,3,4,4,0,2 (2ct 0st),1.333
ZE Green (NAM),2024-2024,7,7,4,2,2,2 (1ct 1st),0.571
MJ Hay (NZ),2024-2024,3,2,3,3,0,3 (3ct 0st),1.5
A Saud (NEP),2024-2024,2,2,3,3,0,2 (2ct 0st),1.5
V Aravind (UAE),2024-2024,6,5,3,3,0,2 (2ct 0st),0.6
T Marumani (ZIM),2024-2024,6,5,3,3,0,3 (3ct 0st),0.6
Jaker Ali (BAN),2024-2024,5,2,2,1,1,1 (1ct 0st),1
AT Carey (AUS),2024-2024,4,3,2,2,0,2 (2ct 0st),0.666
H Klaasen (SA),2024-2024,3,3,2,2,0,1 (1ct 0st),0.666
K Verreynne (SA),2024-2024,5,3,2,1,1,1 (1ct 0st),0.666
MD Patel (USA),2024-2024,12,4,2,2,0,1 (1ct 0st),0.5
C Madande (ZIM),2024-2024,4,1,1,1,0,1 (1ct 0st),1
RR Pant (IND),2024-2024,1,1,1,1,0,1 (1ct 0st),1
Shayan Jahangir (USA),2024-2024,12,1,1,1,0,1 (1ct 0st),1
T Suri (UAE),2024-2024,4,1,1,1,0,1 (1ct 0st),1
ST Doheny (IRE),2024-2024,2,2,1,0,1,1 (0ct 1st),0.5
KL Rahul (IND),2024-2024,2,2,1,1,0,1 (1ct 0st),0.5
PD Salt (ENG),2024-2024,8,3,1,1,0,1 (1ct 0st),0.333
Rahmanullah Gurbaz (AFG),2024-2024,11,4,1,1,0,1 (1ct 0st),0.25
JP Kotze (NAM),2024-2024,10,5,1,1,0,1 (1ct 0st),0.2
A Sharma (UAE),2024-2024,6,5,1,1,0,1 (1ct 0st),0.2
MNK Fernando (SL),2024-2024,1,1,0,0,0,0,0
AK Sah (NEP),2024-2024,12,1,0,0,0,0,0
Litton Das (BAN),2024-2024,5,3,0,0,0,0,0
