Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
SI Runsewe (NGA),2024-2024,22,22,24,22,2,5 (5ct 0st),1.09
BKG Mendis (SL),2024-2024,22,22,23,13,10,3 (2ct 1st),1.045
D Ndikubwimana (RWN),2024-2024,24,24,23,19,4,4 (4ct 0st),0.958
Ahmad Ramdoni (INA),2024-2024,27,27,22,15,7,3 (3ct 0st),0.814
Litton Das (BAN),2024-2024,21,18,21,16,5,5 (4ct 1st),1.166
N Pooran (WI),2024-2024,21,18,18,17,1,2 (2ct 0st),1
SA Edwards (NED),2024-2024,20,20,18,16,2,3 (2ct 1st),0.9
Zeeshan Ali (HKG),2024-2024,25,23,16,9,7,3 (2ct 1st),0.695
RR Pant (IND),2024-2024,10,10,15,13,2,3 (3ct 0st),1.5
IDA Damarell (GUE),2024-2024,12,12,15,11,4,3 (3ct 0st),1.25
ZE Green (NAM),2024-2024,15,12,15,14,1,4 (4ct 0st),1.25
AP Yadav (THA),2024-2024,23,22,15,10,5,2 (1ct 1st),0.681
W Miyauchi (JPN),2024-2024,18,9,14,9,5,3 (2ct 1st),1.555
Syed Haider (UAE),2024-2024,17,15,14,12,2,4 (3ct 1st),0.933
Ainool Hafizs (MAS),2024-2024,17,17,14,9,5,2 (2ct 0st),0.823
Aasif Sheikh (NEP),2024-2024,21,21,14,8,6,2 (1ct 1st),0.666
Abrar Bilal (AUT),2024-2024,9,8,13,10,3,3 (2ct 1st),1.625
S Iturbe (ARG),2024-2024,9,9,13,12,1,3 (2ct 1st),1.444
PS Athavale (OMA),2024-2024,16,15,13,8,5,3 (2ct 1st),0.866
Rahmanullah Gurbaz (AFG),2024-2024,21,16,13,11,2,2 (2ct 0st),0.812
Usman Patel (KUW),2024-2024,22,20,13,7,6,2 (2ct 0st),0.65
Tshering Tashi (BHU),2024-2024,11,11,12,9,3,3 (3ct 0st),1.09
US Hathinjar (CAM),2024-2024,17,17,12,10,2,3 (2ct 1st),0.705
MJ Hay (NZ),2024-2024,4,4,11,10,1,6 (5ct 1st),2.75
MTMMJ Ave (COK),2024-2024,6,6,11,9,2,5 (4ct 1st),1.833
DP Conway (NZ),2024-2024,9,8,11,9,2,3 (3ct 0st),1.375
Ali Raza (BEL),2024-2024,10,8,11,8,3,3 (3ct 0st),1.375
S Singh (KENYA),2024-2024,13,13,11,7,4,1 (1ct 0st),0.846
C Pyle (GIBR),2024-2024,8,8,10,4,6,2 (1ct 1st),1.25
T Suri (UAE),2024-2024,10,10,10,8,2,2 (2ct 0st),1
S Movva (CAN),2024-2024,12,11,10,9,1,3 (3ct 0st),0.909
Q de Kock (SA),2024-2024,12,12,10,8,2,1 (1ct 0st),0.833
SV Samson (IND),2024-2024,13,12,10,8,2,2 (2ct 0st),0.833
BM Pecic (SRB),2024-2024,7,7,9,9,0,3 (3ct 0st),1.285
S Nadigotla (ROM),2024-2024,8,8,9,9,0,2 (2ct 0st),1.125
A Davidson Soler (ESP),2024-2024,9,9,9,4,5,3 (3ct 0st),1
JC Buttler (ENG),2024-2024,15,10,9,7,2,2 (2ct 0st),0.9
T Marumani (ZIM),2024-2024,18,10,9,7,2,2 (2ct 0st),0.9
K Doriga (PNG),2024-2024,11,11,9,8,1,2 (2ct 0st),0.818
P Zuze (MWI),2024-2024,14,14,9,8,1,2 (2ct 0st),0.642
Sachin Mandy (GER),2024-2024,4,4,8,3,5,3 (0ct 3st),2
P Kurup (BHR),2024-2024,5,5,8,8,0,3 (3ct 0st),1.6
A Ilaoa (Samoa),2024-2024,6,6,8,7,1,5 (4ct 1st),1.333
Khizer Ahmed (NOR),2024-2024,8,7,8,6,2,3 (3ct 0st),1.142
C Sudarsanan (MLT),2024-2024,8,7,8,8,0,3 (3ct 0st),1.142
M Vaik (EST),2024-2024,7,7,8,7,1,3 (2ct 1st),1.142
MD Patel (USA),2024-2024,14,9,8,5,3,3 (3ct 0st),0.888
Mohamed Azzam (MDV),2024-2024,17,10,8,8,0,3 (3ct 0st),0.8
F Achelam (UGA),2024-2024,13,11,8,7,1,2 (2ct 0st),0.727
MS Wade (AUS),2024-2024,12,12,8,8,0,2 (2ct 0st),0.666
Divyendra Singh (CZK-R),2024-2024,5,5,7,4,3,3 (1ct 2st),1.4
CF Tlali (LES),2024-2024,10,9,7,4,3,4 (3ct 1st),0.777
Swann Htet Ko Ko (MYAN),2024-2024,11,10,7,5,2,2 (2ct 0st),0.7
I Liyanage (QAT),2024-2024,14,11,7,4,3,2 (2ct 0st),0.636
Mohammad Rizwan (PAK),2024-2024,21,12,7,6,1,2 (2ct 0st),0.583
A Shirai-Patmore (JPN),2024-2024,14,14,7,3,4,2 (1ct 1st),0.5
Aman Desai (SGP),2024-2024,7,5,6,6,0,2 (2ct 0st),1.2
BI Dilruksha (SKOR),2024-2024,5,5,6,2,4,3 (1ct 2st),1.2
JSE Dunford (JER),2024-2024,5,5,6,4,2,2 (2ct 0st),1.2
FFZ Nhaduate (MOZ),2024-2024,5,5,6,5,1,4 (3ct 1st),1.2
M Beitaki (Fiji),2024-2024,6,6,6,4,2,3 (2ct 1st),1
JP Kotze (NAM),2024-2024,18,7,6,4,2,3 (1ct 2st),0.857
S Sankar (KSA),2024-2024,9,7,6,4,2,2 (2ct 0st),0.857
T Sandeep (SWZ),2024-2024,10,9,6,5,1,4 (3ct 1st),0.666
LJ Tucker (IRE),2024-2024,12,12,6,6,0,2 (2ct 0st),0.5
Jordan O'Brien (FIN),2024-2024,7,3,5,4,1,3 (2ct 1st),1.666
JJ Atkinson (HKG),2024-2024,12,4,5,4,1,2 (2ct 0st),1.25
A Mundra (SWE),2024-2024,4,4,5,4,1,3 (2ct 1st),1.25
Nazmus Sakib (MAS),2024-2024,4,4,5,2,3,3 (2ct 1st),1.25
Haseeb Ghafoor (KSA),2024-2024,5,5,5,3,2,2 (2ct 0st),1
H McAleer (IOM),2024-2024,5,5,5,4,1,2 (2ct 0st),1
E Otgonbayar (MNG),2024-2024,7,5,5,5,0,3 (3ct 0st),1
Sohel Ebrahim Desai (PAN),2024-2024,5,5,5,2,3,3 (1ct 2st),1
AN Toube (CAM),2024-2024,5,5,5,4,1,2 (2ct 0st),1
TL Seifert (NZ),2024-2024,8,6,5,4,1,2 (2ct 0st),0.833
Umer Toor (BHR),2024-2024,14,6,5,2,3,2 (0ct 2st),0.833
Manan Ali (KSA),2024-2024,24,8,5,4,1,2 (2ct 0st),0.625
R Poojary (MEX),2024-2024,8,8,5,5,0,2 (2ct 0st),0.625
JP Inglis (AUS),2024-2024,14,9,5,5,0,1 (1ct 0st),0.555
C Madande (ZIM),2024-2024,18,11,5,5,0,1 (1ct 0st),0.454
SN Pathirana (CYP),2024-2024,11,11,5,3,2,1 (1ct 0st),0.454
Ahmed Hassan (SUI),2024-2024,4,4,4,4,0,1 (1ct 0st),1
Meet Bhavsar (KUW),2024-2024,26,4,4,2,2,2 (1ct 1st),1
A Govorko (CRT),2024-2024,4,4,4,4,0,2 (2ct 0st),1
L Maximo (BRA),2024-2024,4,4,4,2,2,2 (1ct 1st),1
Omid Mailk Khel (BEL),2024-2024,4,4,4,1,3,2 (0ct 2st),1
R Sekaran (EST),2024-2024,4,4,4,4,0,2 (2ct 0st),1
LSP Siriwardene (ISR),2024-2024,4,4,4,2,2,3 (2ct 1st),1
JD Allan (VAN),2024-2024,5,5,4,3,1,2 (1ct 1st),0.8
F Baaleri (GHA),2024-2024,5,5,4,4,0,4 (4ct 0st),0.8
J Bangura (SLE),2024-2024,5,5,4,3,1,2 (2ct 0st),0.8
H Klaasen (SA),2024-2024,15,5,4,2,2,1 (1ct 0st),0.8
Y Naing Tun (MYAN),2024-2024,5,5,4,4,0,2 (2ct 0st),0.8
AP Rajeevan (TAN),2024-2024,5,5,4,3,1,1 (1ct 0st),0.8
C Stephenson (Blz),2024-2024,5,5,4,4,0,2 (2ct 0st),0.8
ADS Fletcher (WI),2024-2024,6,6,4,2,2,2 (1ct 1st),0.666
Jaker Ali (BAN),2024-2024,19,6,4,2,2,1 (1ct 0st),0.666
IA Karim (KENYA),2024-2024,6,6,4,3,1,2 (2ct 0st),0.666
Manpreet Singh (SGP),2024-2024,6,6,4,4,0,1 (1ct 0st),0.666
Shahzaib Jamil (QAT),2024-2024,6,6,4,3,1,2 (2ct 0st),0.666
