Player,Span,Mat,Inns,Ct,Max,Ct/Inn
MG Bracewell (NZ),2025-2025,18,18,19,2,1.055
V Kohli (IND),2025-2025,13,13,15,2,1.153
DJ Mitchell (NZ),2025-2025,17,17,14,3,0.823
WA Young (NZ),2025-2025,18,18,12,2,0.666
HC Brook (ENG),2025-2025,15,15,11,5,0.733
MB Kruger (NAM),2025-2025,10,10,10,2,1
KS Williamson (NZ),2025-2025,10,10,10,2,1
JN Loftie-Eaton (NAM),2025-2025,11,11,10,2,0.909
HG Munsey (SCOT),2025-2025,11,11,10,2,0.909
GD Phillips (NZ),2025-2025,11,11,10,2,0.909
AK Markram (SA),2025-2025,12,12,10,2,0.833
Babar Azam (PAK),2025-2025,17,17,10,2,0.588
MJ Santner (NZ),2025-2025,17,17,10,3,0.588
C Green (AUS),2025-2025,3,3,8,4,2.666
Hammad Mirza (OMA),2025-2025,7,7,8,2,1.142
FDW McCreath (SCOT),2025-2025,10,10,8,2,0.8
Mehidy Hasan Miraz (BAN),2025-2025,11,11,8,2,0.727
MRJ Watt (SCOT),2025-2025,11,11,8,2,0.727
R Ravindra (NZ),2025-2025,14,14,8,2,0.571
AT Carey (AUS),2025-2025,9,6,7,3,1.166
RK Paudel (NEP),2025-2025,8,8,7,2,0.875
NP Kenjige (USA),2025-2025,9,9,7,2,0.777
SP Krishnamurthi (USA),2025-2025,10,10,7,2,0.7
B McMullen (SCOT),2025-2025,11,11,7,2,0.636
G Motie (WI),2025-2025,12,11,7,2,0.636
SR Mukkamalla (USA),2025-2025,12,12,7,2,0.583
RL Chase (WI),2025-2025,15,14,7,2,0.5
RG Sharma (IND),2025-2025,14,14,7,2,0.5
K Pierre (WI),2025-2025,4,4,6,2,1.5
PR Stirling (IRE),2025-2025,6,6,6,2,1
M Labuschagne (AUS),2025-2025,7,7,6,2,0.857
MG Erasmus (NAM),2025-2025,11,11,6,2,0.545
Shubman Gill (IND),2025-2025,11,11,6,3,0.545
Milind Kumar (USA),2025-2025,12,12,6,2,0.5
NG Smith (NZ),2025-2025,12,12,6,2,0.5
JP Greaves (WI),2025-2025,14,13,6,1,0.461
PHKD Mendis (SL),2025-2025,13,13,6,2,0.461
AU Rashid (ENG),2025-2025,15,15,6,2,0.4
Salman Agha (PAK),2025-2025,17,17,6,2,0.352
W Madhevere (ZIM),2025-2025,4,4,5,2,1.25
Mohammad Nabi (AFG),2025-2025,6,6,5,3,0.833
NRJ Croes (NED),2025-2025,8,7,5,2,0.714
Mohammad Nawaz (PAK),2025-2025,7,7,5,2,0.714
Aamir Kaleem (OMA),2025-2025,8,8,5,2,0.625
D Brevis (SA),2025-2025,9,9,5,1,0.555
AT Nidamanuru (NED),2025-2025,10,9,5,2,0.555
ZB Lion-Cachet (NED),2025-2025,11,10,5,1,0.5
MP O'Dowd (NED),2025-2025,11,10,5,2,0.5
C Bosch (SA),2025-2025,11,11,5,1,0.454
Najmul Hossain Shanto (BAN),2025-2025,11,11,5,2,0.454
