Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root (ENG),2025-2025,15,15,1,808,166*,57.71,846,95.5,3,4,0,75,4
DJ Mitchell (NZ),2025-2025,17,16,2,761,119,54.35,883,86.18,1,6,0,57,19
HG Munsey (SCOT),2025-2025,11,11,1,735,191,73.5,684,107.45,2,5,1,67,34
MP Breetzke (SA),2025-2025,12,12,1,706,150,64.18,730,96.71,1,6,0,60,17
SD Hope (WI),2025-2025,15,15,3,670,120*,55.83,678,98.82,2,4,1,61,18
Salman Agha (PAK),2025-2025,17,16,2,667,134,47.64,715,93.28,2,3,0,60,8
Milind Kumar (USA),2025-2025,12,12,4,652,123*,81.5,657,99.23,2,5,0,58,16
V Kohli (IND),2025-2025,13,13,3,651,135,65.1,677,96.15,3,4,2,54,13
RG Sharma (IND),2025-2025,14,14,1,650,121*,50,647,100.46,2,4,0,69,24
R Ravindra (NZ),2025-2025,14,14,0,604,112,43.14,565,106.9,2,3,0,73,11
KU Carty (WI),2025-2025,15,15,0,593,170,39.53,771,76.91,3,0,1,57,10
Mohammad Rizwan (PAK),2025-2025,17,17,4,569,122*,43.76,784,72.57,1,4,1,46,8
Babar Azam (PAK),2025-2025,17,17,1,544,102*,34,705,77.16,1,3,1,56,7
BM Duckett (ENG),2025-2025,15,15,0,537,165,35.8,508,105.7,1,3,1,68,8
SR Mukkamalla (USA),2025-2025,12,12,1,533,137*,48.45,687,77.58,1,3,1,42,6
BKG Mendis (SL),2025-2025,13,13,0,500,124,38.46,536,93.28,2,2,1,61,4
SS Iyer (IND),2025-2025,11,10,0,496,79,49.6,554,89.53,0,5,0,44,10
KIC Asalanka (SL),2025-2025,12,12,1,494,127,44.9,539,91.65,2,3,2,46,12
Shubman Gill (IND),2025-2025,11,11,1,490,112,49,552,88.76,2,2,0,59,8
HC Brook (ENG),2025-2025,15,15,1,451,135,32.21,460,98.04,1,1,1,40,20
J Liyanage (SL),2025-2025,13,13,3,448,78,44.8,492,91.05,0,4,0,35,14
KS Williamson (NZ),2025-2025,10,10,1,446,133*,49.55,525,84.95,2,2,1,45,5
JC Buttler (ENG),2025-2025,15,15,2,441,62*,33.92,458,96.28,0,3,1,34,12
Ibrahim Zadran (AFG),2025-2025,6,6,0,429,177,71.5,479,89.56,1,2,0,29,10
MP O'Dowd (NED),2025-2025,11,10,1,429,158*,47.66,455,94.28,1,2,0,39,11
AK Markram (SA),2025-2025,12,11,1,420,110,42,395,106.32,1,3,2,48,8
T Bavuma (SA),2025-2025,11,10,0,404,82,40.4,481,83.99,0,4,0,42,2
P Nissanka (SL),2025-2025,13,13,0,401,122,30.84,479,83.71,1,2,1,52,6
RD Berrington (SCOT),2025-2025,10,10,1,399,105,44.33,475,84,2,1,2,27,12
Towhid Hridoy (BAN),2025-2025,11,11,0,388,100,35.27,577,67.24,1,4,0,23,6
SK Patel (USA),2025-2025,12,12,1,377,152*,34.27,484,77.89,1,1,2,33,5
DP Conway (NZ),2025-2025,8,8,0,369,97,46.12,446,82.73,0,2,0,46,5
SA Edwards (NED),2025-2025,10,9,1,369,74,46.12,453,81.45,0,2,0,27,2
Fakhar Zaman (PAK),2025-2025,10,10,0,369,84,36.9,408,90.44,0,3,2,41,9
MS Chapman (NZ),2025-2025,6,6,1,368,132,73.6,345,106.66,1,3,1,39,11
MG Bracewell (NZ),2025-2025,18,17,5,368,59,30.66,372,98.92,0,3,0,25,16
KL Rahul (IND),2025-2025,14,11,4,367,66*,52.42,340,107.94,0,2,0,20,13
TWM Latham (NZ),2025-2025,16,16,2,365,118*,26.07,445,82.02,1,2,3,30,4
TM Head (AUS),2025-2025,10,10,1,362,142,40.22,302,119.86,1,1,0,51,9
Q de Kock (SA),2025-2025,6,6,1,353,123*,70.6,362,97.51,2,2,1,30,16
GD Phillips (NZ),2025-2025,11,10,5,353,106*,70.6,306,115.35,1,1,1,23,17
JG Bethell (ENG),2025-2025,10,9,0,350,110,38.88,325,107.69,1,3,0,33,12
JP Greaves (WI),2025-2025,14,14,4,350,50,35,325,107.69,0,1,0,30,9
MD Patel (USA),2025-2025,12,12,0,340,65,28.33,432,78.7,0,3,2,33,2
WA Young (NZ),2025-2025,18,18,1,320,107,18.82,405,79.01,1,1,4,39,1
B McMullen (SCOT),2025-2025,11,11,1,314,101,31.4,330,95.15,1,2,1,29,9
BJ Curran (ZIM),2025-2025,5,5,1,313,118*,78.25,395,79.24,1,2,0,35,0
MR Marsh (AUS),2025-2025,6,6,1,304,100,60.8,353,86.11,1,1,0,28,9
Jatinder Singh (OMA),2025-2025,8,8,1,301,100,43,391,76.98,1,1,0,33,4
Muhammad Waseem (UAE),2025-2025,9,9,0,300,76,33.33,347,86.45,0,3,0,15,13
RL Chase (WI),2025-2025,15,15,2,300,55,23.07,347,86.45,0,2,3,23,10
PHKD Mendis (SL),2025-2025,13,13,1,296,64,24.66,335,88.35,0,2,1,25,10
DS Airee (NEP),2025-2025,8,8,1,293,75,41.85,347,84.43,0,2,0,15,4
AR Patel (IND),2025-2025,11,10,2,290,52,36.25,328,88.41,0,1,0,26,4
Aarif Sheikh (NEP),2025-2025,8,8,0,287,84,35.87,385,74.54,0,2,0,25,4
B Sharki (NEP),2025-2025,8,8,0,282,73,35.25,386,73.05,0,1,0,28,1
FDW McCreath (SCOT),2025-2025,10,8,0,274,81,34.25,376,72.87,0,2,0,21,3
BJ Bennett (ZIM),2025-2025,5,5,0,268,169,53.6,275,97.45,1,0,1,34,3
AT Carey (AUS),2025-2025,9,8,1,267,69,38.14,270,98.88,0,3,1,30,2
RD Rickelton (SA),2025-2025,11,11,1,266,103,26.6,317,83.91,1,0,2,30,1
JL Smith (ENG),2025-2025,12,12,0,259,64,21.58,206,125.72,0,3,4,43,5
T de Zorzi (SA),2025-2025,10,9,1,256,76,32,241,106.22,0,1,0,33,6
A Sharma (UAE),2025-2025,9,9,0,255,98,28.33,315,80.95,0,2,1,31,4
C Tear (SCOT),2025-2025,10,10,0,252,80,25.2,281,89.67,0,2,1,33,2
M Levitt (NED),2025-2025,8,8,0,247,44,30.87,284,86.97,0,0,0,28,6
RK Paudel (NEP),2025-2025,8,8,0,247,109,30.87,366,67.48,1,0,0,9,3
AGS Gous (USA),2025-2025,9,9,0,247,83,27.44,330,74.84,0,2,0,22,5
SE Rutherford (WI),2025-2025,10,10,0,246,70,24.6,291,84.53,0,2,1,22,10
JP Inglis (AUS),2025-2025,7,5,1,245,120*,61.25,208,117.78,1,1,0,22,8
Jaker Ali (BAN),2025-2025,7,7,0,243,68,34.71,367,66.21,0,2,0,17,6
MB Kruger (NAM),2025-2025,10,10,0,239,80,23.9,354,67.51,0,1,0,15,5
Saim Ayub (PAK),2025-2025,8,8,0,236,77,29.5,263,89.73,0,2,1,29,5
C Bosch (SA),2025-2025,11,9,3,230,67,38.33,204,112.74,0,1,1,24,5
D Brevis (SA),2025-2025,9,9,1,230,54,28.75,160,143.75,0,1,0,10,20
JN Frylinck (NAM),2025-2025,10,10,0,230,114,23,333,69.06,1,1,2,18,5
Pargat Singh (CAN),2025-2025,10,9,0,228,85,25.33,338,67.45,0,1,0,22,4
MG Erasmus (NAM),2025-2025,11,11,0,221,63,20.09,382,57.85,0,1,1,14,7
Sikandar Raza (ZIM),2025-2025,5,4,1,217,92,72.33,225,96.44,0,3,0,19,1
Najmul Hossain Shanto (BAN),2025-2025,11,11,0,217,77,19.72,329,65.95,0,1,2,19,3
PR Stirling (IRE),2025-2025,6,5,0,210,89,42,229,91.7,0,2,0,21,8
Hammad Mirza (OMA),2025-2025,7,7,0,210,77,30,287,73.17,0,2,0,21,3
MJ Santner (NZ),2025-2025,17,12,4,210,34*,26.25,182,115.38,0,0,0,14,12
Hussain Talat (PAK),2025-2025,9,7,2,209,62,41.8,238,87.81,0,1,0,18,2
PW Hasaranga (SL),2025-2025,10,9,2,207,59,29.57,189,109.52,0,1,0,20,3
J Overton (ENG),2025-2025,8,7,0,206,68,29.42,205,100.48,0,1,0,24,5
MH Cross (SCOT),2025-2025,9,8,0,202,59,25.25,223,90.58,0,1,0,21,0
ZB Lion-Cachet (NED),2025-2025,11,10,0,200,78,20,280,71.42,0,1,0,15,1
MW Short (AUS),2025-2025,7,7,0,197,74,28.14,227,86.78,0,2,1,19,4
S Samarawickrama (SL),2025-2025,5,5,0,195,48,39,251,77.68,0,0,0,18,1
Shayan Jahangir (USA),2025-2025,8,7,0,194,89,27.71,187,103.74,0,1,0,27,3
R Chopra (UAE),2025-2025,7,7,1,194,101,32.33,239,81.17,1,0,0,18,2
HE van der Dussen (SA),2025-2025,3,3,1,193,72*,96.5,199,96.98,0,3,0,13,7
SP Krishnamurthi (USA),2025-2025,10,8,2,193,61,32.16,177,109.03,0,1,0,7,11
G Motie (WI),2025-2025,12,11,1,193,63,19.3,161,119.87,0,1,0,21,9
Mehidy Hasan Miraz (BAN),2025-2025,11,11,1,191,60,19.1,266,71.8,0,1,1,12,3
A Balbirnie (IRE),2025-2025,6,5,0,190,112,38,267,71.16,1,1,1,15,5
JN Loftie-Eaton (NAM),2025-2025,11,11,2,190,47*,21.11,265,71.69,0,0,0,15,6
LJ Tucker (IRE),2025-2025,6,5,1,187,61,46.75,189,98.94,0,1,0,21,1
Azmatullah Omarzai (AFG),2025-2025,6,6,0,186,67,31,189,98.41,0,1,1,14,9
BA King (WI),2025-2025,12,12,0,185,59,15.41,239,77.4,0,1,1,28,2
NRJ Croes (NED),2025-2025,8,8,1,183,50,26.14,189,96.82,0,1,1,23,1
Saif Hassan (BAN),2025-2025,6,6,0,180,80,30,208,86.53,0,1,0,16,11
AT Nidamanuru (NED),2025-2025,10,8,0,180,51,22.5,212,84.9,0,1,0,9,8
A Sharafu (UAE),2025-2025,9,9,0,176,58,19.55,223,78.92,0,1,1,15,7
MA Leask (SCOT),2025-2025,11,9,2,175,96*,25,150,116.66,0,1,1,14,7
YS Samra (CAN),2025-2025,8,7,0,172,53,24.57,256,67.18,0,1,1,19,5
YBK Jaiswal (IND),2025-2025,4,4,1,171,116*,57,197,86.8,1,0,0,19,4
K Bhurtel (NEP),2025-2025,8,8,0,169,53,21.12,213,79.34,0,1,1,22,2
Rahmat Shah (AFG),2025-2025,5,5,1,165,90,41.25,204,80.88,0,2,0,13,1
ZE Green (NAM),2025-2025,11,10,0,165,65,16.5,295,55.93,0,1,1,19,0
NS Dhaliwal (CAN),2025-2025,7,6,0,161,73,26.83,284,56.69,0,2,2,13,4
Karan KC (NEP),2025-2025,8,7,1,157,65*,26.16,118,133.05,0,1,1,8,9
C Green (AUS),2025-2025,3,3,1,156,118*,78,117,133.33,1,0,0,9,8
Aasif Sheikh (NEP),2025-2025,7,7,0,155,37,22.14,200,77.5,0,0,0,18,1
H Klaasen (SA),2025-2025,3,3,0,154,87,51.33,119,129.41,0,2,0,22,3
WG Jacks (ENG),2025-2025,6,5,1,153,49,38.25,130,117.69,0,0,0,11,4
HT Tector (IRE),2025-2025,6,5,0,153,56,30.6,228,67.1,0,2,1,11,1
Harmeet Singh (USA),2025-2025,12,10,3,150,33,21.42,126,119.04,0,0,0,9,9
H Thaker (CAN),2025-2025,7,6,0,148,66,24.66,244,60.65,0,1,0,9,2
E Lewis (WI),2025-2025,7,7,0,148,60,21.14,173,85.54,0,1,0,14,7
PWA Mulder (SA),2025-2025,10,8,2,148,64,24.66,151,98.01,0,1,1,13,3
