Player,Span,Mat,Inns,Ct,Max,Ct/Inn
DJ Hawoe (INA),2025-2025,41,41,25,2,0.609
S Muniandy (MAS),2025-2025,27,27,21,3,0.777
Tanzid Hasan (BAN),2025-2025,27,27,20,5,0.74
Karanbir Singh (AUT),2025-2025,32,31,19,4,0.612
Aqib Iqbal (AUT),2025-2025,36,35,19,3,0.542
GA Priandana (INA),2025-2025,34,34,18,3,0.529
F Banunaek (INA),2025-2025,41,41,18,2,0.439
JO Holder (WI),2025-2025,23,22,16,2,0.727
Rishad Hossain (BAN),2025-2025,25,24,16,2,0.666
Hasan Nawaz (PAK),2025-2025,25,25,16,2,0.64
Umair Tariq (AUT),2025-2025,30,29,16,2,0.551
MS Chapman (NZ),2025-2025,20,19,15,3,0.789
Muhammad Waseem (UAE),2025-2025,22,22,15,2,0.681
Bilal Zalmai (AUT),2025-2025,36,35,15,2,0.428
Junaid Aziz (BHR),2025-2025,39,39,15,4,0.384
Abdul Majid (BHR),2025-2025,40,40,14,2,0.35
NT Tilak Varma (IND),2025-2025,20,19,13,2,0.684
MG Bracewell (NZ),2025-2025,21,20,13,3,0.65
Anjar Tadarus (INA),2025-2025,30,30,13,3,0.433
AV Lazarus (THA),2025-2025,10,10,12,2,1.2
SH Venugopal (SGP),2025-2025,13,12,12,4,1
Towhid Hridoy (BAN),2025-2025,25,24,12,2,0.5
Mohammad Nawaz (PAK),2025-2025,26,26,12,3,0.461
IKEG Artawan (INA),2025-2025,29,29,12,3,0.413
IK Gamantika (INA),2025-2025,30,30,12,3,0.4
Sohail Ahmed (BHR),2025-2025,32,32,12,2,0.375
Ali Dawood (BHR),2025-2025,37,37,12,2,0.324
Fiaz Ahmed (BHR),2025-2025,40,40,12,3,0.3
C Chatphaisan (THA),2025-2025,17,15,11,3,0.733
Abhishek Sharma (IND),2025-2025,21,19,11,2,0.578
DJ Mitchell (NZ),2025-2025,21,20,11,3,0.55
Nizakat Khan (HKG),2025-2025,21,20,11,3,0.55
AA Rahayu (INA),2025-2025,23,23,11,2,0.478
Virandeep Singh (MAS),2025-2025,27,27,11,3,0.407
Faheem Ashraf (PAK),2025-2025,28,28,11,2,0.392
Salman Agha (PAK),2025-2025,34,34,11,2,0.323
C Green (AUS),2025-2025,8,8,10,3,1.25
Arslan Amjad (EST),2025-2025,9,9,10,3,1.111
GJ Maxwell (AUS),2025-2025,10,10,10,3,1
Scott Austin (CYP),2025-2025,10,10,10,3,1
NRJ Croes (NED),2025-2025,11,11,10,3,0.909
MG Erasmus (NAM),2025-2025,12,12,10,2,0.833
JN Loftie-Eaton (NAM),2025-2025,12,12,10,2,0.833
DAM Louis (QAT),2025-2025,12,12,10,2,0.833
J Tuffin (PHI),2025-2025,12,12,10,3,0.833
Waji Ul Hassan (KSA),2025-2025,12,12,10,3,0.833
DMW Rawlins (BER),2025-2025,13,13,10,4,0.769
Abbas Ghani (HUN),2025-2025,16,16,10,3,0.625
RK Paudel (NEP),2025-2025,17,17,10,2,0.588
MDKJ Perera (SL),2025-2025,17,17,10,2,0.588
TT Maposa (ZIM),2025-2025,19,19,10,2,0.526
SA Yadav (IND),2025-2025,21,19,10,2,0.526
Babar Hayat (HKG),2025-2025,21,20,10,4,0.5
SZ Vayani (MWI),2025-2025,20,20,10,3,0.5
A Sharafu (UAE),2025-2025,21,21,10,2,0.476
JC Archer (ENG),2025-2025,6,6,9,4,1.5
Milind Kumar (USA),2025-2025,9,9,9,2,1
HT Tector (IRE),2025-2025,9,9,9,3,1
RR Patel (KENYA),2025-2025,11,11,9,2,0.818
RR Hendricks (SA),2025-2025,12,12,9,2,0.75
Ishtiaq Ahmad (KSA),2025-2025,12,12,9,3,0.75
Shaheryar Butt (BEL),2025-2025,13,13,9,2,0.692
Haris Rauf (PAK),2025-2025,15,15,9,2,0.6
Saif Hassan (BAN),2025-2025,16,15,9,2,0.6
B Evans (ZIM),2025-2025,17,17,9,2,0.529
D Gumyusenge (RWN),2025-2025,18,18,9,1,0.5
Baseer Khan (AUT),2025-2025,20,19,9,2,0.473
A Limdawala (MWI),2025-2025,20,20,9,2,0.45
BJ Bennett (ZIM),2025-2025,25,23,9,2,0.391
RP Burl (ZIM),2025-2025,25,23,9,2,0.391
Parvez Hossain Emon (BAN),2025-2025,23,23,9,2,0.391
Sikandar Raza (ZIM),2025-2025,25,23,9,2,0.391
Shamim Hossain (BAN),2025-2025,25,24,9,1,0.375
Sahibzada Farhan (PAK),2025-2025,26,26,9,2,0.346
Saim Ayub (PAK),2025-2025,29,29,9,2,0.31
Asif Ali (BHR),2025-2025,32,32,9,2,0.281
Imran Anwar (BHR),2025-2025,33,33,9,1,0.272
MW Forde (WI),2025-2025,7,6,8,3,1.333
Tashi Phuntsho (BHU),2025-2025,6,6,8,3,1.333
Babar Azam (PAK),2025-2025,8,8,8,3,1
AN Lascu (ROM),2025-2025,8,8,8,2,1
D Norotam (POR),2025-2025,8,8,8,2,1
Ranjit Singh (AUT),2025-2025,8,8,8,2,1
MP O'Dowd (NED),2025-2025,10,10,8,2,0.8
H Lakov (BUL),2025-2025,11,11,8,3,0.727
Muhammad Moiz (ROM),2025-2025,11,11,8,2,0.727
V Zimonjic (SRB),2025-2025,12,12,8,2,0.666
TH David (AUS),2025-2025,14,13,8,2,0.615
JDS Neesham (NZ),2025-2025,14,13,8,3,0.615
Ibrahim Zadran (AFG),2025-2025,14,14,8,1,0.571
Muhammad Asim (QAT),2025-2025,14,14,8,2,0.571
R Powell (WI),2025-2025,16,15,8,2,0.533
Mahedi Hasan (BAN),2025-2025,16,16,8,2,0.5
K Bhurtel (NEP),2025-2025,17,17,8,3,0.47
Jaker Ali (BAN),2025-2025,26,17,8,3,0.47
D Parashar (UAE),2025-2025,18,18,8,2,0.444
I Danladi (NGA),2025-2025,21,21,8,2,0.38
Hamid Safi (AUT),2025-2025,22,21,8,1,0.38
Shaheen Shah Afridi (PAK),2025-2025,21,21,8,1,0.38
Tanzim Hasan Sakib (BAN),2025-2025,22,21,8,2,0.38
