Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
Sedik Sahak,5,1,Sweden,v Isle of Man,Tromode,06-Sep-25,T20I   3438
Tanzid Hasan,5,1,Bangladesh,v Ireland,Chattogram,02-Dec-25,T20I   3601
JNX du Plooy,4,1,Hungary,v Austria,Marsa,05-Feb-25,T20I   3092
Junaid Aziz,4,2,Bahrain,v Malaysia,Kuala Lumpur,13-Mar-25,T20I   3116
Jassim Khan,4,1,Qatar,v Hong Kong,Mong Kok,10-Apr-25,T20I   3135
DMW Rawlins,4,1,Bermuda,v Bahamas,George Town,23-Apr-25,T20I   3154
SH Venugopal,4,1,Singapore,v Malaysia,Kuala Lumpur,24-Apr-25,T20I   3155
Karanbir Singh,4,2,Austria,v Czech Rep.,Vinor,09-Jun-25,T20I   3215
PSRK Sudarshan,4,2,Singapore,v Samoa,Singapore,18-Jul-25,T20I   3321
Babar Hayat,4,2,Hong Kong,v Singapore,Singapore,24-Jul-25,T20I   3359
S Vashisht,4,1,Romania,v Hungary,Szodliget,25-Jul-25,T20I   3365
TC Barker,4,1,Luxembourg,v Austria,Szodliget,26-Jul-25,T20I   3377
Sadat Said,4,2,Hungary,v Serbia,Szodliget,31-Aug-25,T20I   3430
JC Archer,4,2,England,v South Africa,Manchester,12-Sep-25,T20I   3450
HT Tector,3,1,Ireland,v Zimbabwe,Harare,22-Feb-25,T20I   3098
S Chandramohan,3,1,Singapore,v Bahrain,Singapore,28-Feb-25,T20I   3104
S Muniandy,3,1,Malaysia,v Bahrain,Kuala Lumpur,13-Mar-25,T20I   3116
MG Bracewell,3,1,New Zealand,v Pakistan,Christchurch,16-Mar-25,T20I   3120
K Tathgur,3,2,Canada,v Namibia,Windhoek,19-Mar-25,T20I   3123
MNM Aslam,3,1,Kuwait,v Qatar,Mong Kok,12-Apr-25,T20I   3136
Bilal Tahir,3,1,Kuwait,v Qatar,Mong Kok,12-Apr-25,T20I   3136
Waqas Barkat,3,2,Hong Kong,v Qatar,Mong Kok,13-Apr-25,T20I   3138
D Johnson,3,1,Cayman,v Canada,George Town,23-Apr-25,T20I   3153
C Chatphaisan,3,1,Thailand,v Saudi Arabia,Kuala Lumpur,24-Apr-25,T20I   3156
S Muniandy,3,1,Malaysia,v Thailand,Kuala Lumpur,25-Apr-25,T20I   3159
Ishtiaq Ahmad,3,2,Saudi Arabia,v Thailand,Kuala Lumpur,28-Apr-25,T20I   3166
Virandeep Singh,3,2,Malaysia,v Thailand,Kuala Lumpur,29-Apr-25,T20I   3168
A Paul,3,1,Estonia,v Malta,Marsa,06-May-25,T20I   3173
C Chatphaisan,3,1,Thailand,v Japan,Sano,08-May-25,T20I   3177
MTMMJ Ave,3,1,Cook Islands,v Japan,Sano,09-May-25,T20I   3179
Nahid Rana,3,2,Bangladesh,v U.A.E.,Sharjah,19-May-25,T20I   3188
S Vaz,3,1,Portugal,v Belgium,Zemst,30-May-25,T20I   3195
BM Duckett,3,2,England,v West Indies,Chester-le-Street,06-Jun-25,T20I   3205
H Khogiyani,3,1,Austria,v Czech Rep.,Vinor,08-Jun-25,T20I   3210
A Harris,3,1,Bahamas,v Canada,King City (NE),12-Jun-25,T20I   3223
Walid Ghauri,3,1,Norway,v Finland,Ishoj,14-Jun-25,T20I   3230
J Stanigze,3,2,Sweden,v Finland,Ishoj,14-Jun-25,T20I   3233
Z Burgess,3,1,Bermuda,v Bahamas,King City (NW),16-Jun-25,T20I   3245
HG Munsey,3,1,Scotland,v Netherlands,Glasgow,18-Jun-25,T20I   3247
NRJ Croes,3,2,Netherlands,v Scotland,Glasgow,18-Jun-25,T20I   3247
Abbas Ghani,3,2,Hungary,v Slovenia,Szodliget,21-Jun-25,T20I   3254
Rafiulah Alokozai,3,2,Belgium,v France,Ilfov County,27-Jun-25,T20I   3268
Aqib Iqbal,3,1,Austria,v Malta,Ilfov County,29-Jun-25,T20I   3273
IKEG Artawan,3,2,Indonesia,v Philippines,Bali,07-Jul-25,T20I   3282
Anjar Tadarus,3,1,Indonesia,v South Korea,Bali,09-Jul-25,T20I   3290
BAD Manenti,3,2,Italy,v Scotland,The Hague,09-Jul-25,T20I   3291
SZ Vayani,3,2,Malawi,v Germany,Blantyre,10-Jul-25,T20I   3298
IK Gamantika,3,2,Indonesia,v South Korea,Bali,12-Jul-25,T20I   3304
Isa Zaroo,3,1,Bulgaria,v Turkey,Sofia,12-Jul-25,T20I   3306
H Lakov,3,1,Bulgaria,v Turkey,Sofia,12-Jul-25,T20I   3306
Zafer Durmaz,3,2,Turkey,v Bulgaria,Sofia,12-Jul-25,T20I   3306
Waji Ul Hassan,3,1,Saudi Arabia,v Qatar,Doha,18-Jul-25,T20I   3326
GJ Maxwell,3,1,Australia,v West Indies,Kingston,20-Jul-25,T20I   3339
S Muniandy,3,1,Malaysia,v Hong Kong,Singapore,22-Jul-25,T20I   3343
C Green,3,1,Australia,v West Indies,Kingston,22-Jul-25,T20I   3351
A Prashar,3,2,Hungary,v Austria,Szodliget,26-Jul-25,T20I   3373
DJ Mitchell,3,2,New Zealand,v South Africa,Harare,26-Jul-25,T20I   3374
SKS Gill,3,1,Luxembourg,v Hungary,Szodliget,27-Jul-25,T20I   3379
Arslan Amjad,3,1,Estonia,v Switzerland,Tallinn,02-Aug-25,T20I   3387
Ihsanullah Wafa,3,2,Sweden,v France,Stockholm,07-Aug-25,T20I   3395
S Davizi,3,2,Czech Rep.,v Romania,Ilfov County,21-Aug-25,T20I   3411
Jaker Ali,3,1,Bangladesh,v Netherlands,Sylhet,30-Aug-25,T20I   3425
Rahmanullah Gurbaz,3,2,Afghanistan,v U.A.E.,Sharjah,05-Sep-25,T20I   3437
W Boshoff,3,1,Sweden,v Isle of Man,Tromode,06-Sep-25,T20I   3440
Nizakat Khan,3,1,Hong Kong,v Afghanistan,Abu Dhabi,09-Sep-25,T20I   3443
Umair Qasim,3,2,Eswatini,v Mozambique,Malkerns,13-Sep-25,T20I   3452
