Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
SK Patel,6,5,1,2,U.S.A.,v U.A.E.,Dubai (DICS),03-Nov-25,ODI   4923
MJ Hay,4,4,0,2,New Zealand,v Pakistan,Hamilton,02-Apr-25,ODI   4862
Nurul Hasan,4,4,0,2,Bangladesh,v West Indies,Mirpur,18-Oct-25,ODI   4910
SD Hope,4,4,0,1,West Indies,v New Zealand,Christchurch,16-Nov-25,ODI   4930
KL Rahul,4,4,0,2,India,v South Africa,Ranchi,30-Nov-25,ODI   4934
KL Rahul,3,2,1,1,India,v England,Nagpur,06-Feb-25,ODI   4825
V Shukla,3,3,0,1,Oman,v Namibia,Al Amerat,10-Feb-25,ODI   4830
AT Carey,3,3,0,1,Australia,v Sri Lanka,Colombo (RPS),12-Feb-25,ODI   4831
V Shukla,3,2,1,1,Oman,v U.S.A.,Al Amerat,12-Feb-25,ODI   4832
PD Salt,3,3,0,1,England,v India,Ahmedabad,12-Feb-25,ODI   4833
T Marumani,3,3,0,2,Zimbabwe,v Ireland,Harare,14-Feb-25,ODI   4837
KL Rahul,3,3,0,1,India,v Bangladesh,Dubai (DICS),20-Feb-25,ODI   4844
JP Inglis,3,3,0,1,Australia,v Afghanistan,Lahore,28-Feb-25,ODI   4850
ZE Green,3,3,0,2,Namibia,v Canada,Windhoek,15-Mar-25,ODI   4860
Mohammad Rizwan,3,3,0,1,Pakistan,v New Zealand,Napier,29-Mar-25,ODI   4861
Mohammad Rizwan,3,2,1,1,Pakistan,v New Zealand,Hamilton,02-Apr-25,ODI   4862
SA Edwards,3,3,0,2,Netherlands,v Scotland,Amstelveen,10-May-25,ODI   4867
SA Edwards,3,3,0,1,Netherlands,v U.A.E.,Utrecht,12-May-25,ODI   4868
MH Cross,3,2,1,1,Scotland,v U.A.E.,Utrecht,14-May-25,ODI   4869
SD Hope,3,3,0,1,West Indies,v England,Birmingham,29-May-25,ODI   4880
Mohammad Rizwan,3,2,1,2,Pakistan,v West Indies,Tarouba,10-Aug-25,ODI   4893
RD Rickelton,3,2,1,2,South Africa,v Australia,Mackay,22-Aug-25,ODI   4896
RD Rickelton,3,3,0,1,South Africa,v England,Leeds,02-Sep-25,ODI   4902
JC Buttler,3,3,0,2,England,v South Africa,Southampton,07-Sep-25,ODI   4906
JR Philippe,3,3,0,1,Australia,v India,Perth,19-Oct-25,ODI   4911
TWM Latham,3,3,0,1,New Zealand,v England,Mount Maunganui,26-Oct-25,ODI   4916
SK Patel,3,2,1,2,U.S.A.,v Nepal,Dubai (DICS),26-Oct-25,ODI   4917
A Sharma,3,3,0,1,U.A.E.,v Nepal,ICCA Dubai,05-Nov-25,ODI   4925
Aasif Sheikh,3,3,0,2,Nepal,v U.A.E.,ICCA Dubai,05-Nov-25,ODI   4925
MJ Hay,2,2,0,1,New Zealand,v Sri Lanka,Wellington,05-Jan-25,ODI   4822
TWM Latham,2,2,0,2,New Zealand,v Sri Lanka,Hamilton,08-Jan-25,ODI   4823
BKG Mendis,2,2,0,2,Sri Lanka,v New Zealand,Auckland,11-Jan-25,ODI   4824
Mohammad Rizwan,2,2,0,1,Pakistan,v New Zealand,Lahore,08-Feb-25,ODI   4827
TWM Latham,2,1,1,2,New Zealand,v Pakistan,Lahore,08-Feb-25,ODI   4827
PD Salt,2,2,0,2,England,v India,Cuttack,09-Feb-25,ODI   4828
ZE Green,2,2,0,2,Namibia,v Oman,Al Amerat,10-Feb-25,ODI   4830
KL Rahul,2,1,1,2,India,v England,Ahmedabad,12-Feb-25,ODI   4833
T Marumani,2,2,0,2,Zimbabwe,v Ireland,Harare,16-Feb-25,ODI   4840
RD Rickelton,2,2,0,2,South Africa,v Afghanistan,Karachi,21-Feb-25,ODI   4845
Rahmanullah Gurbaz,2,2,0,2,Afghanistan,v England,Lahore,26-Feb-25,ODI   4849
H Klaasen,2,1,1,1,South Africa,v England,Karachi,01-Mar-25,ODI   4851
ZE Green,2,2,0,1,Namibia,v Netherlands,Windhoek,07-Mar-25,ODI   4856
S Movva,2,2,0,2,Canada,v Namibia,Windhoek,09-Mar-25,ODI   4857
S Movva,2,2,0,1,Canada,v Namibia,Windhoek,15-Mar-25,ODI   4860
MJ Hay,2,2,0,2,New Zealand,v Pakistan,Mount Maunganui,05-Apr-25,ODI   4863
Mohammad Rizwan,2,2,0,1,Pakistan,v New Zealand,Mount Maunganui,05-Apr-25,ODI   4863
SA Edwards,2,2,0,2,Netherlands,v U.A.E.,Amstelveen,06-May-25,ODI   4865
MH Cross,2,1,1,2,Scotland,v Netherlands,Utrecht,16-May-25,ODI   4870
V Shukla,2,1,1,2,Oman,v U.S.A.,Lauderhill,21-May-25,ODI   4874
LJ Tucker,2,2,0,1,Ireland,v West Indies,Dublin,23-May-25,ODI   4875
Anop Santosh,2,2,0,1,Canada,v U.S.A.,Lauderhill,25-May-25,ODI   4878
JC Buttler,2,1,1,1,England,v West Indies,Cardiff,01-Jun-25,ODI   4881
Aasif Sheikh,2,2,0,1,Nepal,v Scotland,Dundee,02-Jun-25,ODI   4882
MH Cross,2,2,0,2,Scotland,v Netherlands,Dundee,06-Jun-25,ODI   4885
BKG Mendis,2,2,0,2,Sri Lanka,v Bangladesh,Colombo (RPS),02-Jul-25,ODI   4889
BKG Mendis,2,1,1,2,Sri Lanka,v Bangladesh,Pallekele,08-Jul-25,ODI   4891
SD Hope,2,1,1,2,West Indies,v Pakistan,Tarouba,08-Aug-25,ODI   4892
SD Hope,2,2,0,1,West Indies,v Pakistan,Tarouba,10-Aug-25,ODI   4893
SD Hope,2,1,1,2,West Indies,v Pakistan,Tarouba,12-Aug-25,ODI   4894
RD Rickelton,2,1,1,2,South Africa,v Australia,Cairns,19-Aug-25,ODI   4895
ZE Green,2,1,1,2,Namibia,v Canada,King City (NW),02-Sep-25,ODI   4903
RD Rickelton,2,1,1,2,South Africa,v England,Lord's,04-Sep-25,ODI   4904
JC Buttler,2,2,0,1,England,v South Africa,Lord's,04-Sep-25,ODI   4904
C Tear,2,2,0,2,Scotland,v Namibia,King City (NW),04-Sep-25,ODI   4905
Rahmanullah Gurbaz,2,1,1,1,Afghanistan,v Bangladesh,Abu Dhabi,08-Oct-25,ODI   4907
Ikram Alikhil,2,2,0,2,Afghanistan,v Bangladesh,Abu Dhabi,14-Oct-25,ODI   4909
TWM Latham,2,2,0,1,New Zealand,v England,Hamilton,29-Oct-25,ODI   4919
A Sharma,2,2,0,1,U.A.E.,v Nepal,ICCA Dubai,30-Oct-25,ODI   4920
JC Buttler,2,2,0,2,England,v New Zealand,Wellington,01-Nov-25,ODI   4921
Mohammad Rizwan,2,1,1,2,Pakistan,v Sri Lanka,Rawalpindi,11-Nov-25,ODI   4928
Haseebullah Khan,2,2,0,1,Pakistan,v Sri Lanka,Rawalpindi,16-Nov-25,ODI   4931
