Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
Litton Das,4,3,1,2,Bangladesh,v Pakistan,Mirpur,15-Mar-26,ODI # 4945
V Shukla,4,4,0,2,Oman,v Namibia,Windhoek,10-Apr-26,ODI # 4949
BKG Mendis,3,1,2,2,Sri Lanka,v England,Colombo (RPS),22-Jan-26,ODI # 4940
Litton Das,3,3,0,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Adeeb Usmani,3,3,0,2,U.A.E.,v Oman,Kirtipur,03-May-26,ODI # 4958
KL Rahul,2,2,0,1,India,v New Zealand,Vadodara,11-Jan-26,ODI # 4937
V Shukla,2,2,0,1,Oman,v Namibia,Windhoek,04-Apr-26,ODI # 4946
ZE Green,2,2,0,1,Namibia,v Oman,Windhoek,10-Apr-26,ODI # 4949
MH Cross,2,2,0,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
Litton Das,2,2,0,1,Bangladesh,v New Zealand,Mirpur,17-Apr-26,ODI # 4951
Litton Das,2,2,0,1,Bangladesh,v New Zealand,Mirpur,20-Apr-26,ODI # 4952
Litton Das,2,2,0,2,Bangladesh,v New Zealand,Chattogram,23-Apr-26,ODI # 4953
TWM Latham,2,2,0,1,New Zealand,v Bangladesh,Chattogram,23-Apr-26,ODI # 4953
B Bhandari,2,2,0,2,Nepal,v Oman,Kirtipur,05-May-26,ODI # 4959
MJ Hay,1,1,0,2,New Zealand,v India,Vadodara,11-Jan-26,ODI # 4937
KL Rahul,1,1,0,1,India,v New Zealand,Indore,18-Jan-26,ODI # 4939
MJ Hay,1,1,0,2,New Zealand,v India,Indore,18-Jan-26,ODI # 4939
JC Buttler,1,0,1,1,England,v Sri Lanka,Colombo (RPS),24-Jan-26,ODI # 4941
Mohammad Rizwan,1,1,0,2,Pakistan,v Bangladesh,Mirpur,11-Mar-26,ODI # 4943
Mohammad Rizwan,1,1,0,2,Pakistan,v Bangladesh,Mirpur,13-Mar-26,ODI # 4944
Litton Das,1,1,0,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
ZE Green,1,1,0,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
MH Cross,1,1,0,1,Scotland,v Namibia,Windhoek,06-Apr-26,ODI # 4947
Hammad Mirza,1,1,0,2,Oman,v Scotland,Windhoek,08-Apr-26,ODI # 4948
TWM Latham,1,1,0,2,New Zealand,v Bangladesh,Mirpur,17-Apr-26,ODI # 4951
Aasif Sheikh,1,0,1,2,Nepal,v U.A.E.,Kirtipur,25-Apr-26,ODI # 4954
V Shukla,1,1,0,1,Oman,v U.A.E.,Kirtipur,27-Apr-26,ODI # 4955
V Shukla,1,1,0,2,Oman,v Nepal,Kirtipur,29-Apr-26,ODI # 4956
Aasif Sheikh,1,1,0,1,Nepal,v Oman,Kirtipur,29-Apr-26,ODI # 4956
Adeeb Usmani,1,1,0,1,U.A.E.,v Nepal,Kirtipur,01-May-26,ODI # 4957
B Bhandari,1,1,0,2,Nepal,v U.A.E.,Kirtipur,01-May-26,ODI # 4957
V Shukla,1,1,0,1,Oman,v Nepal,Kirtipur,05-May-26,ODI # 4959
KL Rahul,0,0,0,2,India,v New Zealand,Rajkot,14-Jan-26,ODI # 4938
MJ Hay,0,0,0,1,New Zealand,v India,Rajkot,14-Jan-26,ODI # 4938
JC Buttler,0,0,0,1,England,v Sri Lanka,Colombo (RPS),22-Jan-26,ODI # 4940
BKG Mendis,0,0,0,2,Sri Lanka,v England,Colombo (RPS),24-Jan-26,ODI # 4941
JC Buttler,0,0,0,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
BKG Mendis,0,0,0,1,Sri Lanka,v England,Colombo (RPS),27-Jan-26,ODI # 4942
Mohammad Rizwan,0,0,0,1,Pakistan,v Bangladesh,Mirpur,15-Mar-26,ODI # 4945
MH Cross,0,0,0,1,Scotland,v Oman,Windhoek,08-Apr-26,ODI # 4948
ZE Green,0,0,0,2,Namibia,v Scotland,Windhoek,12-Apr-26,ODI # 4950
TWM Latham,0,0,0,2,New Zealand,v Bangladesh,Mirpur,20-Apr-26,ODI # 4952
Adeeb Usmani,0,0,0,1,U.A.E.,v Nepal,Kirtipur,25-Apr-26,ODI # 4954
Adeeb Usmani,0,0,0,2,U.A.E.,v Oman,Kirtipur,27-Apr-26,ODI # 4955
V Shukla,0,0,0,1,Oman,v U.A.E.,Kirtipur,03-May-26,ODI # 4958
