Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
Usman Khan,4,3,1,2,Pakistan,v Namibia,Colombo (SSC),18-Feb-26,T20I # 3722
Usman Khan,4,3,1,2,Pakistan,v England,Pallekele,24-Feb-26,T20I # 3732
Ashish Bam,4,4,0,2,Cyprus,v Finland,Episkopi,08-May-26,T20I # 3842
Usman Khan,3,3,0,1,Pakistan,v Sri Lanka,Dambulla,07-Jan-26,T20I # 3660
LJ Tucker,3,2,1,2,Ireland,v U.A.E.,Dubai (DICS),29-Jan-26,T20I # 3674
LJ Tucker,3,0,3,2,Ireland,v U.A.E.,Dubai (DICS),31-Jan-26,T20I # 3677
BRM Taylor,3,3,0,1,Zimbabwe,v Oman,Colombo (SSC),09-Feb-26,T20I # 3691
Q de Kock,3,3,0,1,South Africa,v West Indies,Ahmedabad,26-Feb-26,T20I # 3740
RA Sealy,3,2,1,2,Cayman,v Mexico,George Town,12-Mar-26,T20I # 3766
CF Tlali,3,3,0,1,Lesotho,v Botswana,Gaborone (Oval 1),13-Mar-26,T20I # 3768
V Mbazo,3,3,0,2,Botswana,v Lesotho,Gaborone (Oval 1),13-Mar-26,T20I # 3768
V Mbazo,3,1,2,2,Botswana,v Lesotho,Gaborone (Oval 1),15-Mar-26,T20I # 3773
CC Machado,3,3,0,1,Brazil,v Costa Rica,Naucalpan,03-Apr-26,T20I # 3795
S Guruvayoorappan,3,3,0,1,Mexico,v Costa Rica,Naucalpan,04-Apr-26,T20I # 3798
CC Machado,3,3,0,1,Brazil,v Mexico,Naucalpan,05-Apr-26,T20I # 3801
W Boshoff,3,3,0,2,Sweden,v Indonesia,Bali,13-Apr-26,T20I # 3816
C Tommy,3,2,1,2,Vanuatu,v Fiji,Nisshin,08-May-26,T20I # 3839
GP Meade,2,0,2,1,Italy,v Ireland,Dubai,26-Jan-26,T20I # 3670
JP Inglis,2,2,0,1,Australia,v Pakistan,Lahore,31-Jan-26,T20I # 3678
JC Buttler,2,1,1,2,England,v Sri Lanka,Pallekele,03-Feb-26,T20I # 3683
SA Edwards,2,2,0,2,Netherlands,v Pakistan,Colombo (SSC),07-Feb-26,T20I # 3684
