Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
M Labuschagne,4,1,Australia,v England,Nottingham,19-Sep-24,ODI   4766
A Balbirnie,4,1,Ireland,v South Africa,Abu Dhabi,02-Oct-24,ODI   4780
B McMullen,3,2,Scotland,v Namibia,Dundee,20-Jul-24,ODI   4748
M van Lingen,3,1,Namibia,v U.A.E.,Windhoek,26-Sep-24,ODI   4776
Irfan Khan,3,2,Pakistan,v Australia,Melbourne,04-Nov-24,ODI   4795
WIA Fernando,3,1,Sri Lanka,v New Zealand,Pallekele,17-Nov-24,ODI   4808
RL Chase,3,1,West Indies,v Bangladesh,Basseterre,10-Dec-24,ODI   4814
G Motie,3,1,West Indies,v Bangladesh,Basseterre,10-Dec-24,ODI   4814
Sediqullah Atal,3,2,Afghanistan,v Zimbabwe,Harare,19-Dec-24,ODI   4818
RP Burl,2,1,Zimbabwe,v Sri Lanka,Colombo (RPS),06-Jan-24,ODI   4718
M Labuschagne,2,1,Australia,v West Indies,Melbourne,02-Feb-24,ODI   4721
MW Forde,2,1,West Indies,v Australia,Sydney,04-Feb-24,ODI   4722
JP Greaves,2,1,West Indies,v Australia,Sydney,04-Feb-24,ODI   4722
SA Abbott,2,2,Australia,v West Indies,Sydney,04-Feb-24,ODI   4722
P Nissanka,2,2,Sri Lanka,v Afghanistan,Pallekele,09-Feb-24,ODI   4725
S Samarawickrama,2,1,Sri Lanka,v Afghanistan,Pallekele,14-Feb-24,ODI   4729
JJ Smit,2,1,Namibia,v Nepal,Kirtipur,15-Feb-24,ODI   4730
K Bhurtel,2,2,Nepal,v Namibia,Kirtipur,15-Feb-24,ODI   4730
NRJ Croes,2,1,Netherlands,v Namibia,Kirtipur,19-Feb-24,ODI   4732
SA Engelbrecht,2,1,Netherlands,v Nepal,Kirtipur,25-Feb-24,ODI   4735
H Thaker,2,1,Canada,v U.A.E.,Dubai (DICS),28-Feb-24,ODI   4736
S Movva,2,1,Canada,v Scotland,Dubai (DICS),01-Mar-24,ODI   4737
R Chopra,2,1,U.A.E.,v Canada,Dubai (DICS),05-Mar-24,ODI   4739
A Johnson,2,2,Canada,v U.A.E.,Dubai (DICS),05-Mar-24,ODI   4739
Litton Das,2,2,Bangladesh,v Sri Lanka,Chattogram,15-Mar-24,ODI   4744
Pramod Madushan,2,2,Sri Lanka,v Bangladesh,Chattogram,18-Mar-24,ODI   4745
JN Frylinck,2,1,Namibia,v Oman,Dundee,18-Jul-24,ODI   4747
CN Greaves,2,1,Scotland,v Oman,Dundee,22-Jul-24,ODI   4749
MA Leask,2,1,Scotland,v Oman,Dundee,22-Jul-24,ODI   4749
RD Berrington,2,2,Scotland,v Namibia,Dundee,26-Jul-24,ODI   4751
RG Sharma,2,1,India,v Sri Lanka,Colombo (RPS),02-Aug-24,ODI   4752
W Barresi,2,1,Netherlands,v Canada,The Hague,11-Aug-24,ODI   4755
Milind Kumar,2,2,U.S.A.,v Canada,The Hague,13-Aug-24,ODI   4756
M Levitt,2,2,Netherlands,v U.S.A.,The Hague,15-Aug-24,ODI   4757
Shariz Ahmad,2,2,Netherlands,v U.S.A.,The Hague,15-Aug-24,ODI   4757
NR Kirton,2,1,Canada,v Netherlands,Rotterdam,17-Aug-24,ODI   4758
A Dutt,2,2,Netherlands,v U.S.A.,Rotterdam,21-Aug-24,ODI   4760
MD Patel,2,1,U.S.A.,v Namibia,Windhoek,16-Sep-24,ODI   4761
K Bhurtel,2,1,Nepal,v Canada,King City (NW),16-Sep-24,ODI   4762
